2024-06-06 09:56:38,162 semantic_segmentation INFO: Namespace(dataset='etci_2021', model='PSPNet')
2024-06-06 09:56:38,383 semantic_segmentation INFO: Start training, Total Epochs: 400 = Total Iterations 186400
2024-06-06 09:56:39,980 semantic_segmentation INFO: Iters: 10/186400 || Lr: 0.001800 || Loss: 0.1702 || pixAcc:0.6140 || m_IOU:0.4544 || || Cost Time: 0:00:01 || Estimated Time: 7:46:42
2024-06-06 09:56:41,043 semantic_segmentation INFO: Iters: 20/186400 || Lr: 0.001800 || Loss: 0.2132 || pixAcc:0.7442 || m_IOU:0.4778 || || Cost Time: 0:00:02 || Estimated Time: 6:38:07
2024-06-06 09:56:42,076 semantic_segmentation INFO: Iters: 30/186400 || Lr: 0.001800 || Loss: 0.2827 || pixAcc:0.7843 || m_IOU:0.4980 || || Cost Time: 0:00:03 || Estimated Time: 6:12:21
2024-06-06 09:56:43,124 semantic_segmentation INFO: Iters: 40/186400 || Lr: 0.001800 || Loss: 0.2767 || pixAcc:0.8053 || m_IOU:0.5066 || || Cost Time: 0:00:04 || Estimated Time: 6:00:28
2024-06-06 09:56:44,184 semantic_segmentation INFO: Iters: 50/186400 || Lr: 0.001800 || Loss: 0.2216 || pixAcc:0.8141 || m_IOU:0.5089 || || Cost Time: 0:00:05 || Estimated Time: 5:54:13
2024-06-06 09:56:45,224 semantic_segmentation INFO: Iters: 60/186400 || Lr: 0.001799 || Loss: 0.2865 || pixAcc:0.8233 || m_IOU:0.5160 || || Cost Time: 0:00:06 || Estimated Time: 5:49:10
2024-06-06 09:56:46,263 semantic_segmentation INFO: Iters: 70/186400 || Lr: 0.001799 || Loss: 0.1488 || pixAcc:0.8335 || m_IOU:0.5280 || || Cost Time: 0:00:07 || Estimated Time: 5:45:19
2024-06-06 09:56:47,310 semantic_segmentation INFO: Iters: 80/186400 || Lr: 0.001799 || Loss: 0.2687 || pixAcc:0.8376 || m_IOU:0.5340 || || Cost Time: 0:00:08 || Estimated Time: 5:42:33
2024-06-06 09:56:48,358 semantic_segmentation INFO: Iters: 90/186400 || Lr: 0.001799 || Loss: 0.2112 || pixAcc:0.8409 || m_IOU:0.5359 || || Cost Time: 0:00:09 || Estimated Time: 5:40:48
2024-06-06 09:56:49,393 semantic_segmentation INFO: Iters: 100/186400 || Lr: 0.001799 || Loss: 0.1884 || pixAcc:0.8442 || m_IOU:0.5406 || || Cost Time: 0:00:11 || Estimated Time: 5:38:51
2024-06-06 09:56:50,428 semantic_segmentation INFO: Iters: 110/186400 || Lr: 0.001799 || Loss: 0.1361 || pixAcc:0.8467 || m_IOU:0.5432 || || Cost Time: 0:00:12 || Estimated Time: 5:37:17
2024-06-06 09:56:51,512 semantic_segmentation INFO: Iters: 120/186400 || Lr: 0.001799 || Loss: 0.2203 || pixAcc:0.8484 || m_IOU:0.5459 || || Cost Time: 0:00:13 || Estimated Time: 5:37:10
2024-06-06 09:56:52,636 semantic_segmentation INFO: Iters: 130/186400 || Lr: 0.001799 || Loss: 0.2683 || pixAcc:0.8534 || m_IOU:0.5459 || || Cost Time: 0:00:14 || Estimated Time: 5:36:23
2024-06-06 09:56:53,784 semantic_segmentation INFO: Iters: 140/186400 || Lr: 0.001799 || Loss: 0.1331 || pixAcc:0.8558 || m_IOU:0.5530 || || Cost Time: 0:00:15 || Estimated Time: 5:39:15
2024-06-06 09:56:54,835 semantic_segmentation INFO: Iters: 150/186400 || Lr: 0.001799 || Loss: 0.1508 || pixAcc:0.8603 || m_IOU:0.5525 || || Cost Time: 0:00:16 || Estimated Time: 5:38:25
2024-06-06 09:56:55,908 semantic_segmentation INFO: Iters: 160/186400 || Lr: 0.001799 || Loss: 0.3375 || pixAcc:0.8623 || m_IOU:0.5591 || || Cost Time: 0:00:17 || Estimated Time: 5:38:04
